date,supply_BTC,act_addr_BTC,market_dom_BTC
2024-03-03,19642950,868123.0,49.69844791900841
2024-03-04,19643950,889591.0,49.90847265804537
2024-03-05,19644731,1163884.0,51.10897976342113
2024-03-06,19645781,922558.0,50.337686978968236
2024-03-07,19646600,1034779.0,49.71988967540433
2024-03-08,19647737,947450.0,49.416308978532264
2024-03-09,19648718,915625.0,49.69518128748989
2024-03-10,19649775,862638.0,49.4243753400435
2024-03-11,19650662,1150718.0,49.697126160302425
2024-03-12,19651693,1016389.0,49.778228096324675
2024-03-13,19652612,1093495.0,49.760586747870676
2024-03-14,19653587,1000634.0,49.69563979062508
2024-03-15,19654500,963220.0,49.5034996014935
2024-03-16,19655281,916345.0,49.51429240310672
2024-03-17,19656187,861558.0,49.5074870236029
2024-03-18,19657050,910571.0,49.524048794361654
2024-03-19,19657950,974102.0,50.05194444356215
2024-03-20,19658906,942142.0,50.030326930808734
2024-03-21,19659856,819742.0,50.12781778423258
2024-03-22,19660650,915500.0,49.485238341469696
2024-03-23,19661506,908728.0,49.46221989355177
2024-03-24,19662462,918817.0,49.440323142192234
2024-03-25,19663512,918815.0,49.76323675306064
2024-03-26,19664293,851577.0,49.95456102777851
2024-03-27,19665181,865580.0,49.86737178988613
2024-03-28,19666031,942681.0,50.048385754855914
2024-03-29,19666975,847610.0,50.0390695709643
2024-03-30,19667887,826192.0,49.732546669569025
2024-03-31,19668856,691124.0,49.74225945105153
2024-04-01,19669700,970510.0,49.620509274242636
2024-04-02,19670625,953501.0,49.99382934281529
2024-04-03,19671575,965290.0,49.841849355355336
2024-04-04,19672462,978380.0,49.926696171745725
2024-04-05,19673318,950040.0,50.53081198341646
2024-04-06,19674268,907389.0,50.61905542021614
2024-04-07,19675237,833045.0,50.63355181254425
2024-04-08,19676262,896193.0,50.316468778325145
2024-04-09,19677237,890535.0,50.13503005009398
2024-04-10,19678181,846297.0,50.251614693983356
2024-04-11,19679137,748021.0,50.58356930896173
2024-04-12,19679975,832502.0,50.61591336712912
2024-04-13,19680768,869723.0,51.75999497338166
2024-04-14,19681837,839158.0,52.55736865598255
2024-04-15,19682800,813736.0,51.9234984074324
2024-04-16,19683700,941086.0,51.73776346234031
2024-04-17,19684693,794595.0,52.002788285277724
2024-04-18,19685581,823945.0,51.61478538576419
2024-04-19,19686462,880733.0,51.6925661909488
2024-04-20,19687425,509709.0,51.767251775457325
2024-04-21,19687859,565959.0,51.13083527129675
