date,supply_ETH,act_addr_ETH,market_dom_ETH
2021-12-04,117857352.08850864,507198,20.570325915638445
2021-12-05,117862899.39868365,770035,21.21064436568128
2021-12-06,117867947.68674767,535971,21.261533204519978
2021-12-07,117874077.51428528,546442,21.318104465153013
2021-12-08,117881426.12461057,594046,21.63178101144438
2021-12-09,117888579.40301313,551477,21.54039241013058
2021-12-10,117895361.61794874,563315,21.122380430529347
2021-12-11,117903447.12835088,530061,20.993025876009202
2021-12-12,117912716.42283869,547153,20.91140732830882
2021-12-13,117920237.88848591,558238,20.81485690051575
2021-12-14,117928195.15450683,558556,20.654520785188357
2021-12-15,117935039.49008277,556399,20.641846354193433
2021-12-16,117940344.22275475,547754,21.014911497608445
2021-12-17,117947291.3719314,564941,20.806197648737108
2021-12-18,117956270.6368759,510534,20.968700437588595
2021-12-19,117966207.78123997,508998,20.90255478154515
2021-12-20,117975255.38249691,535971,20.8712227416569
2021-12-21,117984001.14232902,540080,20.8727800466126
2021-12-22,117991856.91009767,574885,20.513432880399485
2021-12-23,117999520.03931078,543367,20.289834702326726
2021-12-24,118008100.45100495,581940,20.101632560754176
2021-12-25,118016544.4681476,570594,19.97559206997585
2021-12-26,118026410.59920366,539417,20.103987810063597
2021-12-27,118034229.48342796,561521,19.82899399994141
2021-12-28,118039814.15603004,538194,19.71968675665017
2021-12-29,118043403.29464914,513908,19.70944842530377
2021-12-30,118048392.90643339,543019,19.424458642189794
2021-12-31,118054732.15875202,520111,19.527150232443354
2022-01-01,118062348.17236984,520793,19.603616037115245
2022-01-02,118068015.52569059,485525,19.443757532110336
2022-01-03,118073360.93363242,521536,19.747924775107844
2022-01-04,118076367.2950424,531452,19.749869711209353
2022-01-05,118078061.83373901,550330,19.999692373279384
2022-01-06,118080606.71511516,545109,19.774651781065778
2022-01-07,118081929.13392237,523697,19.196854762394484
2022-01-08,118086236.19188301,522450,18.963366147215247
2022-01-09,118087134.8950923,459085,18.524416084485523
2022-01-10,118082557.25743943,468296,18.676180226708855
2022-01-11,118080548.85328807,529207,18.587841382969696
2022-01-12,118078560.6408312,570477,18.836327942402946
2022-01-13,118078186.15873356,583306,18.865008372657307
2022-01-14,118075835.12972179,524945,18.696191450336148
2022-01-15,118078788.18902117,537202,18.730083425557954
2022-01-16,118081608.85977048,517318,18.76197960696527
2022-01-17,118084118.94057028,522703,18.802032784507077
2022-01-18,118088218.87532903,510277,18.58261247474383
2022-01-19,118091876.52029456,535144,18.43238299591254
2022-01-20,118093975.62770568,526212,18.379748439557744
2022-01-21,118092330.633014,502772,18.392876990627986
2022-01-22,118092761.68149522,505446,17.719788356012256
2022-01-23,118096281.16854076,476281,17.576747605325554
2022-01-24,118098858.8774926,483976,17.723730676744122
2022-01-25,118101408.653902,493882,17.275748878268878
2022-01-26,118103543.6277387,482479,17.211780089327608
2022-01-27,118104401.32857925,465126,17.29250476148664
2022-01-28,118106647.4383719,489908,17.00226946225954
2022-01-29,118111179.38728733,488267,17.52666081225927
2022-01-30,118116055.73957992,505213,17.689554386707265
2022-01-31,118120043.02628374,525894,17.864381659614892
2022-02-01,118121159.11914061,516381,18.085363336180865
2022-02-02,118122680.2378015,502519,18.46836926336249
2022-02-03,118126625.46793364,484628,18.506232214667698
2022-02-04,118131984.00115088,527126,18.427806487527928
2022-02-05,118139863.72831333,589950,18.71642248955379
2022-02-06,118148186.57971458,552794,18.75487339760239
2022-02-07,118152724.40435672,516441,18.637139606916126
2022-02-08,118159508.63211864,533055,18.44666613790289
2022-02-09,118166099.58731405,541497,18.376134756987717
2022-02-10,118172752.64232323,546957,18.79117441594737
2022-02-11,118181137.33235087,544530,18.377353390514166
2022-02-12,118190130.4429504,519471,18.214350022555944
2022-02-13,118200024.58587797,533096,18.162331852509798
2022-02-14,118209526.15239741,535136,18.040900594105374
2022-02-15,118218669.50922658,529931,18.202194740625885
2022-02-16,118226404.12319776,504044,18.690403426421792
2022-02-17,118234545.44805022,498275,18.613816235270637
2022-02-18,118240622.0805279,465098,18.520140268100928
2022-02-19,118249563.44560443,488096,18.109963692110895
2022-02-20,118258685.34932631,509375,18.006976985144675
2022-02-21,118265272.78283727,465884,17.837596172753326
2022-02-22,118272309.70294301,478984,18.157215325498242
2022-02-23,118279844.15852699,502079,17.571944856269024
2022-02-24,118286923.4346312,512010,18.075394245875085
2022-02-25,118296522.90110752,517225,17.94585247146618
2022-02-26,118307396.59327385,550129,18.40548044895841
2022-02-27,118318470.07605152,514334,18.47755815557093
2022-02-28,118326826.91216,498208,18.084351227182193
2022-03-01,118336454.89381848,528534,18.084162681951334
2022-03-02,118346387.87913372,547247,18.10150669665764
2022-03-03,118356923.84785724,537343,18.070867712495996
2022-03-04,118367725.76170819,530198,17.52448283276448
2022-03-05,118379393.28222547,502811,17.609703818118355
2022-03-06,118389992.14675646,521391,17.76787601702514
2022-03-07,118401489.68230127,538250,17.572119071273786
2022-03-08,118413085.54772599,592521,17.311587973535914
2022-03-09,118424820.471778,567595,17.608901601537603
2022-03-10,118436982.61137882,632609,17.544947805314273
2022-03-11,118449080.5017022,520899,17.56436826444347
2022-03-12,118462192.6136849,532700,17.48398295700537
2022-03-13,118474535.8136998,492336,17.532692864507613
2022-03-14,118486777.36142439,503765,17.59552271357918
2022-03-15,118498423.13130929,573598,17.464628201549974
2022-03-16,118509678.39181873,627476,17.732221055774296
2022-03-17,118519086.21488808,521312,18.019274768640035
2022-03-18,118529123.69606061,637433,18.240051051203366
2022-03-19,118541421.75504984,541424,18.58315882157567
2022-03-20,118554110.02478987,525552,18.40704217576825
2022-03-21,118566076.85427399,561483,18.257830838046374
2022-03-22,118577374.9983015,600705,18.362490970140527
2022-03-23,118588971.06875111,551530,18.38783124380945
2022-03-24,118599431.87291925,534484,18.456001786824473
2022-03-25,118610247.90343052,530250,18.48126425517148
2022-03-26,118622308.37441075,538300,18.497878754427315
2022-03-27,118633202.61516392,529663,18.540373209774817
2022-03-28,118641124.55075383,546513,18.55976277402025
2022-03-29,118652048.56437597,552462,18.70197872989588
2022-03-30,118662262.33676092,521150,18.748206343281563
2022-03-31,118672536.15775363,526345,18.675635988114863
2022-04-01,118681601.66644125,506192,18.60120589363821
2022-04-02,118691571.00440882,477794,19.07280972888697
2022-04-03,118701687.00262958,463817,19.112250833232427
2022-04-04,118710711.96648301,461066,19.162543871836668
2022-04-05,118715381.44926856,476827,19.25524952739528
2022-04-06,118725036.4096079,483130,19.08252675355633
2022-04-07,118734211.73894036,477631,18.91521184709143
2022-04-08,118744037.95787998,467852,18.97283893491993
2022-04-09,118755718.55769564,499590,19.29844701095047
2022-04-10,118767508.32871944,497208,16.256273117216548
2022-04-11,118778362.16957726,484201,16.020795738083315
2022-04-12,118789106.8288803,470046,19.29102668595517
2022-04-13,118799717.4205251,449938,19.241980690754943
2022-04-14,118810295.73915477,491737,19.338882589641212
2022-04-15,118821634.57776941,485370,19.242076665829178
2022-04-16,118833836.86935766,480395,19.09914216624171
2022-04-17,118846582.96466242,462460,19.231030176492514
2022-04-18,118858262.29479901,487129,19.182388590109326
2022-04-19,118869501.88188127,587325,19.15714958163993
2022-04-20,118877934.03755225,594724,19.079282055056648
2022-04-21,118887087.6165255,484124,19.06007849368123
2022-04-22,118897363.10543318,506383,18.917854668328733
2022-04-23,118909266.5011856,474644,18.989160370820098
2022-04-24,118921195.7250877,488775,18.961301074422362
2022-04-25,118931240.39592703,496273,18.98432510968594
2022-04-26,118941785.77789246,501580,19.135044241918578
2022-04-27,118952233.98569201,508802,18.959987524223923
2022-04-28,118962620.91406769,509046,19.074601823892152
2022-04-29,118973059.19321297,500685,19.436771827108075
2022-04-30,118983735.29943874,504531,19.311344099718614
2022-05-01,118927003.22158962,462683,19.421871321194132
2022-05-02,118935679.30645217,451612,19.57198095757984
2022-05-03,118944869.65399465,446078,19.787808946595042
2022-05-04,118955138.89272518,486765,19.3879820780338
2022-05-05,118964760.21718456,531713,19.375556640125275
2022-05-06,118975589.90037853,491004,19.477421865330694
2022-05-07,118987483.38025224,474454,19.32426082775986
2022-05-08,119000068.56062376,502918,19.348107070758573
2022-05-09,119009350.74553327,510296,19.1154954807676
2022-05-10,119019050.50909902,522339,19.343502089815736
2022-05-11,119021612.1564205,478187,19.51321941494337
2022-05-12,119017802.12102276,618116,18.39181278415914
2022-05-13,119025870.81759799,640061,18.250907559015932
2022-05-14,119037426.4965939,511875,16.941407425160186
2022-05-15,119050098.51802833,491529,18.969575742771426
2022-05-16,119062810.6603979,515955,19.02831095205125
2022-05-17,119074579.19784142,490886,18.873403148790164
2022-05-18,119087000.32823595,547897,18.984936153614253
2022-05-19,119099206.12990202,482770,18.616265125162336
2022-05-20,119111160.18969929,469316,18.746616456880478
2022-05-21,119123842.81443404,480290,18.753631513577545
2022-05-22,119136276.58892229,456035,18.67516604037722
2022-05-23,119148625.31068555,462817,18.83190750070096
2022-05-24,119160454.43415786,474486,18.789433653728395
2022-05-25,119172039.73629332,452269,17.991331264709256
2022-05-26,119182377.12708236,419843,17.83569962675572
2022-05-27,119193319.00166386,439618,17.104396113409766
2022-05-28,119206008.52210212,478487,16.810486967324724
2022-05-29,119218667.67181697,462938,17.057639710523752
2022-05-30,119230158.20530975,414469,17.137560586978324
2022-05-31,119240358.82052776,480640,17.527583761587355
2022-06-01,119249901.39581396,440554,17.16339426310132
2022-06-02,119258900.43137196,407824,17.10229063215241
2022-06-03,119267939.74295773,412066,16.908112740646988
2022-06-04,119277136.87504785,394905,16.814419438758538
2022-06-05,119286439.79923368,388974,17.361248437674085
2022-06-06,119295813.27869971,424222,17.384885176594555
2022-06-07,119305042.0052793,414078,17.412823063030842
2022-06-08,119312839.92767963,391074,17.125111844629714
2022-06-09,119320790.63050319,414740,17.217016365614224
2022-06-10,119330049.64421844,450845,17.245374018855788
2022-06-11,119340945.8538054,450410,16.649842671341773
2022-06-12,119351989.40564485,423032,15.935874739032412
2022-06-13,119358761.70085497,451486,15.879939259072323
2022-06-14,119367704.90496424,453579,15.315333036734406
2022-06-15,119376049.04367681,448537,15.195600235992726
2022-06-16,119386522.28116708,474457,15.117393986893108
2022-06-17,119397254.56695077,480403,14.326997498583866
2022-06-18,119407106.64500402,446177,14.395020439914472
2022-06-19,119418606.53005204,434371,14.204572713236601
2022-06-20,119430338.45577267,443537,14.849975073929238
2022-06-21,119440413.46313693,421734,14.925207397447059
2022-06-22,119450641.04911906,423963,14.604330840302826
2022-06-23,119459640.22818933,409311,14.097105666795066
2022-06-24,119469361.9369156,439477,14.75123989146002
2022-06-25,119479478.79350771,384523,15.245260096515974
2022-06-26,119489444.73694894,363117,15.344695022544219
2022-06-27,119498553.39314637,421016,15.16320549634833
2022-06-28,119507859.25818287,403631,15.22580064864041
2022-06-29,119516627.22634141,402586,15.093251564209028
2022-06-30,119526107.26062004,414316,14.697661847809451
2022-07-01,119538391.3806207,487385,14.456031946229578
2022-07-02,119552174.01968475,509016,14.558104074785556
2022-07-03,119565891.42056692,462204,14.5774095257301
2022-07-04,119578962.66024111,461195,14.645570309042434
2022-07-05,119591536.68068153,462292,15.057591377677555
