nb_neurons,nb_iter,random_state,alpha,accuracy,accuracy_test
32.0,8000.0,3.0,0.001,0.9356014580801945,0.5333333333333333
32.0,8000.0,3.0,0.01,0.9222357229647631,0.6666666666666666
32.0,8000.0,4.0,0.0001,0.9222357229647631,0.4
32.0,8000.0,4.0,0.0005,0.9380315917375456,0.4
32.0,8000.0,4.0,0.001,0.9428918590522479,0.5333333333333333
32.0,8000.0,4.0,0.01,0.928311057108141,0.4666666666666667
32.0,16000.0,0.0,0.0001,0.9671931956257594,0.5333333333333333
32.0,16000.0,0.0,0.0005,0.951397326852977,0.4666666666666667
32.0,16000.0,0.0,0.001,0.9489671931956257,0.6666666666666666
32.0,16000.0,0.0,0.01,0.9671931956257594,0.4666666666666667
32.0,16000.0,1.0,0.0001,0.9708383961117861,0.4666666666666667
32.0,16000.0,1.0,0.0005,0.968408262454435,0.4666666666666667
32.0,16000.0,1.0,0.001,0.9720534629404617,0.4666666666666667
32.0,16000.0,1.0,0.01,0.9708383961117861,0.4666666666666667
32.0,16000.0,2.0,0.0001,0.9878493317132442,0.4
32.0,16000.0,2.0,0.0005,0.9927095990279465,0.4666666666666667
32.0,16000.0,2.0,0.001,0.9987849331713244,0.4
32.0,16000.0,2.0,0.01,0.9781287970838396,0.5333333333333333
32.0,16000.0,3.0,0.0001,0.9805589307411907,0.6666666666666666
32.0,16000.0,3.0,0.0005,0.9805589307411907,0.6666666666666666
32.0,16000.0,3.0,0.001,0.9939246658566221,0.4666666666666667
32.0,16000.0,3.0,0.01,0.982989064398542,0.6666666666666666
32.0,16000.0,4.0,0.0001,0.982989064398542,0.3333333333333333
32.0,16000.0,4.0,0.0005,0.9951397326852977,0.3333333333333333
32.0,16000.0,4.0,0.001,0.9975698663426489,0.6
32.0,16000.0,4.0,0.01,0.9805589307411907,0.5333333333333333
32.0,32000.0,0.0,0.0001,1.0,0.6
32.0,32000.0,0.0,0.0005,0.9890643985419199,0.4666666666666667
32.0,32000.0,0.0,0.001,0.9975698663426489,0.6666666666666666
32.0,32000.0,0.0,0.01,0.9939246658566221,0.26666666666666666
32.0,32000.0,1.0,0.0001,1.0,0.4666666666666667
32.0,32000.0,1.0,0.0005,0.9987849331713244,0.3333333333333333
32.0,32000.0,1.0,0.001,0.9987849331713244,0.4666666666666667
32.0,32000.0,1.0,0.01,0.991494532199271,0.4666666666666667
32.0,32000.0,2.0,0.0001,1.0,0.4
32.0,32000.0,2.0,0.0005,1.0,0.5333333333333333
32.0,32000.0,2.0,0.001,1.0,0.4
32.0,32000.0,2.0,0.01,0.9987849331713244,0.4666666666666667
32.0,32000.0,3.0,0.0001,1.0,0.6
32.0,32000.0,3.0,0.0005,1.0,0.6
32.0,32000.0,3.0,0.001,1.0,0.4
32.0,32000.0,3.0,0.01,1.0,0.6666666666666666
32.0,32000.0,4.0,0.0001,1.0,0.3333333333333333
32.0,32000.0,4.0,0.0005,1.0,0.4
32.0,32000.0,4.0,0.001,1.0,0.7333333333333333
32.0,32000.0,4.0,0.01,1.0,0.6
