nb_neurons,nb_iter,random_state,accuracy,accuracy_test
4.0,1000.0,0.0,0.494279176201373,0.34782608695652173
4.0,1000.0,1.0,0.4897025171624714,0.30434782608695654
4.0,1000.0,2.0,0.505720823798627,0.30434782608695654
4.0,1000.0,3.0,0.5102974828375286,0.2608695652173913
4.0,1000.0,4.0,0.494279176201373,0.2608695652173913
4.0,2000.0,0.0,0.5148741418764302,0.43478260869565216
4.0,2000.0,1.0,0.5125858123569794,0.2608695652173913
4.0,2000.0,2.0,0.5354691075514875,0.34782608695652173
4.0,2000.0,3.0,0.5194508009153318,0.30434782608695654
4.0,2000.0,4.0,0.505720823798627,0.34782608695652173
4.0,4000.0,0.0,0.5308924485125858,0.4782608695652174
4.0,4000.0,1.0,0.5308924485125858,0.4782608695652174
4.0,4000.0,2.0,0.5423340961098398,0.391304347826087
4.0,4000.0,3.0,0.5148741418764302,0.30434782608695654
4.0,4000.0,4.0,0.5240274599542334,0.391304347826087
4.0,8000.0,0.0,0.5308924485125858,0.5652173913043478
4.0,8000.0,1.0,0.5377574370709383,0.391304347826087
4.0,8000.0,2.0,0.5537757437070938,0.43478260869565216
4.0,8000.0,3.0,0.5263157894736842,0.391304347826087
4.0,8000.0,4.0,0.5217391304347826,0.391304347826087
4.0,16000.0,0.0,0.5560640732265446,0.5217391304347826
4.0,16000.0,1.0,0.5469107551487414,0.43478260869565216
4.0,16000.0,2.0,0.5652173913043478,0.5217391304347826
4.0,16000.0,3.0,0.5331807780320366,0.34782608695652173
4.0,16000.0,4.0,0.5308924485125858,0.391304347826087
4.0,32000.0,0.0,0.597254004576659,0.43478260869565216
4.0,32000.0,1.0,0.5697940503432495,0.4782608695652174
4.0,32000.0,2.0,0.5675057208237986,0.5217391304347826
4.0,32000.0,3.0,0.5491990846681922,0.391304347826087
4.0,32000.0,4.0,0.5331807780320366,0.391304347826087
8.0,1000.0,0.0,0.5537757437070938,0.391304347826087
8.0,1000.0,1.0,0.5583524027459954,0.2608695652173913
8.0,1000.0,2.0,0.5560640732265446,0.30434782608695654
8.0,1000.0,3.0,0.551487414187643,0.34782608695652173
8.0,1000.0,4.0,0.5263157894736842,0.2608695652173913
8.0,2000.0,0.0,0.6018306636155606,0.391304347826087
8.0,2000.0,1.0,0.5652173913043478,0.43478260869565216
8.0,2000.0,2.0,0.5881006864988558,0.2608695652173913
8.0,2000.0,3.0,0.5652173913043478,0.43478260869565216
8.0,2000.0,4.0,0.5537757437070938,0.34782608695652173
8.0,4000.0,0.0,0.6018306636155606,0.5217391304347826
8.0,4000.0,1.0,0.5949656750572082,0.4782608695652174
8.0,4000.0,2.0,0.6041189931350115,0.34782608695652173
8.0,4000.0,3.0,0.6155606407322655,0.30434782608695654
8.0,4000.0,4.0,0.5720823798627003,0.4782608695652174
8.0,8000.0,0.0,0.6109839816933639,0.5217391304347826
8.0,8000.0,1.0,0.6384439359267735,0.5217391304347826
8.0,8000.0,2.0,0.6155606407322655,0.5217391304347826
8.0,8000.0,3.0,0.6338672768878718,0.34782608695652173
8.0,8000.0,4.0,0.597254004576659,0.5217391304347826
8.0,16000.0,0.0,0.6270022883295194,0.4782608695652174
8.0,16000.0,1.0,0.665903890160183,0.4782608695652174
8.0,16000.0,2.0,0.6430205949656751,0.5652173913043478
8.0,16000.0,3.0,0.6384439359267735,0.34782608695652173
8.0,16000.0,4.0,0.6270022883295194,0.5217391304347826
8.0,32000.0,0.0,0.6224256292906178,0.391304347826087
8.0,32000.0,1.0,0.6727688787185355,0.43478260869565216
8.0,32000.0,2.0,0.6475972540045767,0.6086956521739131
8.0,32000.0,3.0,0.6796338672768879,0.30434782608695654
8.0,32000.0,4.0,0.665903890160183,0.4782608695652174
16.0,1000.0,0.0,0.6132723112128147,0.43478260869565216
16.0,1000.0,1.0,0.6018306636155606,0.6956521739130435
16.0,1000.0,2.0,0.5926773455377574,0.4782608695652174
16.0,1000.0,3.0,0.6155606407322655,0.34782608695652173
16.0,1000.0,4.0,0.620137299771167,0.43478260869565216
16.0,2000.0,0.0,0.6384439359267735,0.34782608695652173
16.0,2000.0,1.0,0.6041189931350115,0.5652173913043478
16.0,2000.0,2.0,0.6155606407322655,0.5652173913043478
16.0,2000.0,3.0,0.6681922196796338,0.43478260869565216
16.0,2000.0,4.0,0.665903890160183,0.6086956521739131
16.0,4000.0,0.0,0.6819221967963387,0.391304347826087
16.0,4000.0,1.0,0.6567505720823799,0.5217391304347826
16.0,4000.0,2.0,0.6636155606407322,0.4782608695652174
16.0,4000.0,3.0,0.7414187643020596,0.43478260869565216
16.0,4000.0,4.0,0.6887871853546911,0.6521739130434783
16.0,8000.0,0.0,0.7139588100686499,0.43478260869565216
16.0,8000.0,1.0,0.7116704805491991,0.5652173913043478
16.0,8000.0,2.0,0.7048054919908466,0.4782608695652174
16.0,8000.0,3.0,0.7848970251716247,0.43478260869565216
16.0,8000.0,4.0,0.7643020594965675,0.6956521739130435
16.0,16000.0,0.0,0.7894736842105263,0.5217391304347826
16.0,16000.0,1.0,0.7803203661327232,0.43478260869565216
16.0,16000.0,2.0,0.7437070938215103,0.4782608695652174
16.0,16000.0,3.0,0.8123569794050344,0.43478260869565216
16.0,16000.0,4.0,0.8260869565217391,0.5217391304347826
16.0,32000.0,0.0,0.8123569794050344,0.4782608695652174
16.0,32000.0,1.0,0.8237986270022883,0.43478260869565216
16.0,32000.0,2.0,0.8077803203661327,0.4782608695652174
16.0,32000.0,3.0,0.8443935926773455,0.43478260869565216
16.0,32000.0,4.0,0.8672768878718535,0.5652173913043478
32.0,1000.0,0.0,0.6475972540045767,0.391304347826087
32.0,1000.0,1.0,0.6704805491990846,0.4782608695652174
32.0,1000.0,2.0,0.6475972540045767,0.4782608695652174
32.0,1000.0,3.0,0.6727688787185355,0.43478260869565216
32.0,1000.0,4.0,0.6453089244851259,0.4782608695652174
32.0,2000.0,0.0,0.7414187643020596,0.5217391304347826
32.0,2000.0,1.0,0.7459954233409611,0.5652173913043478
32.0,2000.0,2.0,0.7139588100686499,0.5652173913043478
32.0,2000.0,3.0,0.7254004576659039,0.5217391304347826
32.0,2000.0,4.0,0.7254004576659039,0.6086956521739131
32.0,4000.0,0.0,0.851258581235698,0.5652173913043478
32.0,4000.0,1.0,0.8237986270022883,0.5652173913043478
32.0,4000.0,2.0,0.8329519450800915,0.5217391304347826
32.0,4000.0,3.0,0.8489702517162472,0.5652173913043478
32.0,4000.0,4.0,0.8237986270022883,0.5217391304347826
32.0,8000.0,0.0,0.9221967963386728,0.6086956521739131
32.0,8000.0,1.0,0.88558352402746,0.6086956521739131
32.0,8000.0,2.0,0.9382151029748284,0.5217391304347826
32.0,8000.0,3.0,0.9107551487414187,0.5217391304347826
32.0,8000.0,4.0,0.8901601830663616,0.5217391304347826
32.0,16000.0,0.0,0.9839816933638444,0.4782608695652174
32.0,16000.0,1.0,0.954233409610984,0.5217391304347826
32.0,16000.0,2.0,0.9931350114416476,0.4782608695652174
32.0,16000.0,3.0,0.9794050343249427,0.4782608695652174
32.0,16000.0,4.0,0.977116704805492,0.5652173913043478
32.0,32000.0,0.0,1.0,0.5652173913043478
32.0,32000.0,1.0,1.0,0.34782608695652173
32.0,32000.0,2.0,1.0,0.43478260869565216
32.0,32000.0,3.0,1.0,0.4782608695652174
32.0,32000.0,4.0,1.0,0.5652173913043478
64.0,1000.0,0.0,0.782608695652174,0.391304347826087
64.0,1000.0,1.0,0.7505720823798627,0.34782608695652173
64.0,1000.0,2.0,0.7643020594965675,0.43478260869565216
64.0,1000.0,3.0,0.7437070938215103,0.43478260869565216
64.0,1000.0,4.0,0.7299771167048055,0.391304347826087
64.0,2000.0,0.0,0.8649885583524027,0.4782608695652174
64.0,2000.0,1.0,0.8581235697940504,0.4782608695652174
64.0,2000.0,2.0,0.8878718535469108,0.43478260869565216
64.0,2000.0,3.0,0.8787185354691075,0.5217391304347826
64.0,2000.0,4.0,0.8558352402745996,0.391304347826087
64.0,4000.0,0.0,0.9473684210526315,0.5217391304347826
64.0,4000.0,1.0,0.9679633867276888,0.5217391304347826
64.0,4000.0,2.0,0.9496567505720824,0.4782608695652174
64.0,4000.0,3.0,0.9702517162471396,0.4782608695652174
64.0,4000.0,4.0,0.9405034324942791,0.4782608695652174
64.0,8000.0,0.0,1.0,0.391304347826087
64.0,8000.0,1.0,1.0,0.5217391304347826
64.0,8000.0,2.0,1.0,0.391304347826087
64.0,8000.0,3.0,1.0,0.43478260869565216
64.0,8000.0,4.0,0.9977116704805492,0.43478260869565216
64.0,16000.0,0.0,1.0,0.43478260869565216
64.0,16000.0,1.0,1.0,0.4782608695652174
64.0,16000.0,2.0,1.0,0.34782608695652173
64.0,16000.0,3.0,1.0,0.391304347826087
64.0,16000.0,4.0,1.0,0.43478260869565216
64.0,32000.0,0.0,1.0,0.43478260869565216
64.0,32000.0,1.0,1.0,0.5217391304347826
64.0,32000.0,2.0,1.0,0.34782608695652173
64.0,32000.0,3.0,1.0,0.391304347826087
64.0,32000.0,4.0,1.0,0.43478260869565216
128.0,1000.0,0.0,0.8306636155606407,0.4782608695652174
128.0,1000.0,1.0,0.8192219679633868,0.5652173913043478
128.0,1000.0,2.0,0.8398169336384439,0.5652173913043478
128.0,1000.0,3.0,0.8718535469107551,0.43478260869565216
128.0,1000.0,4.0,0.8443935926773455,0.5217391304347826
